[2025-04-13 00:12:13,664]-[main] INFO  Exposed - Executing create tables statements took 42ms
[2025-04-13 00:12:13,710]-[main] INFO  Exposed - Extracting table columns took 46ms
[2025-04-13 00:12:13,753]-[main] INFO  Exposed - Extracting primary keys took 43ms
[2025-04-13 00:12:14,106]-[main] INFO  Exposed - Extracting column constraints took 352ms
[2025-04-13 00:12:14,106]-[main] INFO  Exposed - Preparing alter table statements took 442ms
[2025-04-13 00:12:14,149]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:14,281]-[main] INFO  Exposed - Checking mapping consistence took 131ms
[2025-04-13 00:12:14,342]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:12:14,384]-[main] INFO  Exposed - Executing create tables statements took 42ms
[2025-04-13 00:12:14,430]-[main] INFO  Exposed - Extracting table columns took 46ms
[2025-04-13 00:12:14,474]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:12:14,586]-[main] INFO  Exposed - Extracting column constraints took 112ms
[2025-04-13 00:12:14,586]-[main] INFO  Exposed - Preparing alter table statements took 202ms
[2025-04-13 00:12:14,629]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:14,760]-[main] INFO  Exposed - Checking mapping consistence took 131ms
[2025-04-13 00:12:14,807]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:12:14,851]-[main] INFO  Exposed - Executing create tables statements took 44ms
[2025-04-13 00:12:14,896]-[main] INFO  Exposed - Extracting table columns took 45ms
[2025-04-13 00:12:14,950]-[main] INFO  Exposed - Extracting primary keys took 54ms
[2025-04-13 00:12:15,063]-[main] INFO  Exposed - Extracting column constraints took 111ms
[2025-04-13 00:12:15,063]-[main] INFO  Exposed - Preparing alter table statements took 212ms
[2025-04-13 00:12:15,106]-[main] INFO  Exposed - Executing alter table statements took 43ms
[2025-04-13 00:12:15,238]-[main] INFO  Exposed - Checking mapping consistence took 132ms
[2025-04-13 00:12:15,284]-[main] INFO  Exposed - Preparing create tables statements took 44ms
[2025-04-13 00:12:15,325]-[main] INFO  Exposed - Executing create tables statements took 41ms
[2025-04-13 00:12:15,371]-[main] INFO  Exposed - Extracting table columns took 45ms
[2025-04-13 00:12:15,415]-[main] INFO  Exposed - Extracting primary keys took 44ms
[2025-04-13 00:12:15,541]-[main] INFO  Exposed - Extracting column constraints took 125ms
